1,92,617,431,615,431,637,92,639,Xin cám ơn và hen gắp lại quy khách,OTHER
2,206,589,334,593,333,614,205,609,Thu ngân: BH4,OTHER
3,495,555,495,582,297,582,297,555,Ngày: 12/08/2020 - 12:39,TIMESTAMP
4,436,514,501,517,501,538,435,536,44,000,OTHER
5,256,511,298,511,298,534,256,534,VND,OTHER
6,25,511,168,506,169,528,25,532,Tiến khách trá:,OTHER
7,501,481,501,506,434,506,434,481,44,000 44,000,TOTAL_COST
8,133,480,133,506,25,506,25,480,Tổng cộng,TOTAL_COST
9,27,452,104,452,104,471,27,471,Tổngs8,OTHER
10,174,452,190,452,190,473,174,473,4,OTHER
11,441,411,495,411,495,432,441,432,8,000,OTHER
12,312,411,361,411,361,429,312,429,8,000,OTHER
13,197,410,231,410,231,425,197,425,CHA,OTHER
14,148,409,160,409,160,425,148,425,Y,OTHER
15,36,378,475,378,475,398,36,398,291007450000 Nước tăng lực number 1 350m NT,OTHER
16,302,345,361,345,361,363,302,363,10,000,OTHER
17,428,342,492,345,492,366,427,363,20,000,OTHER
18,197,344,233,344,233,360,197,360,LON,OTHER
19,149,343,161,343,161,362,149,362,z,OTHER
20,39,316,399,315,399,332,39,333,8936000440039 Bia Hà Nội Ion 330ml NT,OTHER
21,301,281,360,281,360,300,301,300,16,000,OTHER
22,199,282,233,282,233,297,199,297,HOP,OTHER
23,428,280,489,280,489,298,428,298,16,000,OTHER
24,150,282,162,282,162,297,150,297,1,OTHER
25,39,252,412,251,412,272,39,273,8934572018007 pale gan hảo vi vissan NO,OTHER
26,162,224,250,224,250,241,162,241,SL ĐVT,OTHER
27,45,221,162,226,161,244,45,238,Tôn hàng,OTHER
28,278,222,476,218,476,238,279,243,Đơn giá Thanh tiển,OTHER
29,145,183,391,183,391,211,145,211,HÓA ĐƠN BÁN HÀNG,OTHER
30,24,138,59,138,59,157,24,157,Tel:,OTHER
31,383,110,383,133,148,133,148,110,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
32,360,76,360,97,170,97,170,76,MINIMART ANAN,SELLER
