1,75,653,355,656,355,673,75,670,CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI,OTHER
2,94,583,335,586,335,603,94,600,Chỉ xuất hóa đơn trong ngày,OTHER
3,105,516,333,517,333,535,104,534,(Gia đã bao gồm thuế gtgt),OTHER
4,353,497,409,499,408,514,353,512,46.003,OTHER
5,32,495,141,495,141,512,32,512,TIẾN TRÃ LẠI,OTHER
6,353,473,409,473,409,491,353,491,50.000,OTHER
7,42,474,114,474,114,489,42,489,TIÊN MẶT,OTHER
8,362,453,408,453,408,467,362,467,3.997,OTHER
9,32,451,158,450,158,465,33,466,TIỀN KHÁCH TRẢ,OTHER
10,345,431,400,431,400,445,345,445,3.340,OTHER
11,34,430,175,430,175,443,34,443,TỔNG TIẾN Ả GIẢM,OTHER
12,360,407,409,407,409,425,360,425,3.997,TOTAL_COST
13,30,402,227,402,227,427,30,427,TỔNG TIỀN PHẢI T.TOÁN,TOTAL_COST
14,353,365,407,365,407,379,353,379,- 3.340,OTHER
15,29,363,52,363,52,379,29,379,KM,OTHER
16,361,343,406,343,406,357,361,357,7.337,OTHER
17,297,344,310,344,310,358,297,358,1,OTHER
18,211,341,256,341,256,359,211,359,7.337,OTHER
19,30,337,150,341,150,358,29,355,2653629005062,OTHER
20,31,316,311,320,310,338,30,333,BÍ Ô HỒ LO 14.500/KG X.0,506 KG,OTHER
21,344,297,399,295,400,313,344,316,T. Tiền,OTHER
22,281,297,301,297,301,315,281,315,SL,OTHER
23,193,295,250,297,249,317,192,314,ơn giá,OTHER
24,31,293,106,295,105,313,30,311,Mặt hàng,OTHER
25,292,255,405,255,405,270,292,270,NVBH:09020497,OTHER
26,31,252,102,252,102,267,31,267,Quầy: 001,OTHER
27,309,233,398,233,398,247,309,247,11:00133694,OTHER
28,28,223,256,223,256,251,28,251,Ngày bán: 15/08/2020 07:41,TIMESTAMP
29,149,207,284,209,284,226,149,224,HÓA ĐN BÁN HÁNG,OTHER
30,223,167,331,168,331,184,223,182,024 71066866-4358,OTHER
31,208,141,347,144,347,160,208,157,TP Cam Pha, Quang Ninh,OTHER
32,30,128,152,128,152,163,30,163,VinCommerce,SELLER
33,363,118,361,142,193,134,194,112,Số 590 Trần Phú P. Cẩm Thuỷ,ADDRESS
34,343,94,344,113,212,111,214,89,VM+ QNH 690 Trần Phú,ADDRESS
