1,79,772,478,777,477,797,79,792,Xin cám ơn và hẹn gặp lại quý khách l,OTHER
2,210,739,362,743,361,767,209,763,Thu ngân: BH3,OTHER
3,553,701,553,728,319,728,319,701,Ngày: 12/08/2020 - 13:57,TIMESTAMP
4,469,652,557,655,557,679,469,677,234,000,OTHER
5,261,650,312,650,312,674,261,674,VND,OTHER
6,6,642,165,644,165,666,6,663,Tiến khách trả:,OTHER
7,560,611,560,639,464,639,464,611,234,000,TOTAL_COST
8,125,609,125,637,4,637,4,609,Tổng cộng,TOTAL_COST
9,171,582,188,582,188,604,171,604,4,OTHER
10,3,572,92,576,91,601,2,598,Tổng số,OTHER
11,464,527,553,529,552,555,464,552,155,000,OTHER
12,311,527,395,527,395,551,311,551,155,000,OTHER
13,195,528,238,526,239,545,196,548,GOI,OTHER
14,141,529,152,529,152,545,141,545,1,OTHER
15,13,491,400,492,400,516,13,515,291010700000 bột giặt omo 4,5kg NT,OTHER
16,488,450,547,450,547,473,488,473,5,000,OTHER
17,335,451,393,448,394,472,336,474,5,000,OTHER
18,198,450,240,450,240,470,198,470,GOI,OTHER
19,142,451,152,451,152,470,142,470,1,OTHER
20,18,418,302,415,302,436,18,439,291006030000 muối 1kg NT,OTHER
21,470,377,541,377,541,398,470,398,12,000,OTHER
22,323,377,392,377,392,398,323,398,12,000,OTHER
23,202,378,242,378,242,396,202,396,GOI,OTHER
24,146,378,157,378,157,396,146,396,1,OTHER
25,26,346,495,343,495,365,27,368,8935212800266 ST Enchanter trắng da dây NT,OTHER
26,323,308,391,308,391,329,323,329,62,000,OTHER
27,205,309,246,309,246,327,205,327,GOI,OTHER
28,466,307,535,307,535,328,466,328,62,000,OTHER
29,151,310,164,310,164,327,151,327,1,OTHER
30,36,280,450,280,450,297,36,297,8935039500707 Mi chính at 1 ggn,OTHER
31,302,249,514,248,514,267,302,268,Đơn giá Thành tiên,OTHER
32,221,250,265,250,265,266,221,266,ĐVT,OTHER
33,170,250,208,250,208,266,170,266,SL,OTHER
34,46,247,139,251,138,269,45,265,Tôn hang,OTHER
35,151,208,424,209,424,236,151,235,HÓA ĐƠN BÁN HÀNG,OTHER
36,28,163,62,163,62,182,28,182,let,OTHER
37,412,129,412,155,156,155,156,129,Chợ Sủi Phú Thị Gia Lâm,ADDRESS
38,389,94,389,121,185,121,185,94,MINIMART ANAN,SELLER
